bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1300	0.05	maia1100	24	17	2	5	0.7500	12	9	1	2	0.7917	12	8	1	3	0.7083	1	50	8	4	b59f3b2b		true	0.0833	59.17	45.5	0.0333	0.4278	0.4332
1300	0.05	maia1500	24	9	4	11	0.4583	12	5	3	4	0.5417	12	4	1	7	0.3750	1	50	8	4	b59f3b2b		true	0.1667	86.21	42.7	0.0275	0.4168	0.3994
1300	0.05	sf3	24	7	2	15	0.3333	12	2	1	9	0.2083	12	5	1	6	0.4583	1	50	8	4	b59f3b2b		true	0.0833	66.54	59.5	0.0384	0.2883	0.2970
1300	0.05	sf5	24	1	3	20	0.1042	12	1	3	8	0.2083	12	0	0	12	0.0000	1	50	8	4	b59f3b2b		true	0.1250	75.50	49.0	0.0269	0.3016	0.3063
