pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
locate	1900	0.05	sf3	draw	ply_cap_draw	120	0	1	Italian Game	1	b59f3b2b	59	1891.00	1	59	23	60	22	318298	4304.883575883334
locate	1900	0.05	sf3	win	adjudicated_eval	61	1	0	Ruy Lopez	1	b59f3b2b	30	786.00	0	30	11	31	15	125978	3095.97020574194
locate	1900	0.05	sf3	win	adjudicated_eval	37	2	1	Ruy Lopez, Morphy Defense	1	b59f3b2b	18	562.00	0	18	4	18	8	106952	4886.260141055559
locate	1900	0.05	sf3	win	adjudicated_eval	55	3	0	Scotch Game	1	b59f3b2b	27	927.00	0	27	11	28	10	121513	3375.325815964274
locate	1900	0.05	sf3	win	adjudicated_eval	77	4	1	Petrov Defense	1	b59f3b2b	38	1395.00	1	38	10	39	14	214946	4536.807567999994
locate	1900	0.05	sf3	win	adjudicated_eval	38	5	0	Four Knights Game	1	b59f3b2b	19	630.00	0	19	9	19	9	97657	4139.689624631563
locate	1900	0.05	sf3	win	adjudicated_eval	84	6	1	Vienna Game	1	b59f3b2b	42	1508.00	1	42	16	42	16	211301	4030.6881925238135
locate	1900	0.05	sf3	win	adjudicated_eval	65	7	0	King's Gambit	1	b59f3b2b	32	916.00	0	32	11	33	16	136289	3160.0776736363555
locate	1900	0.05	sf5	draw	ply_cap_draw	120	8	1	Sicilian Defense, Open	1	b59f3b2b	59	2090.00	0	59	22	60	23	328728	4478.691991116653
locate	1900	0.05	sf5	draw	threefold_repetition	31	9	0	Sicilian Defense, Najdorf	1	b59f3b2b	15	351.00	0	15	7	15	9	85573	4638.015454466672
locate	1900	0.05	sf5	loss	adjudicated_eval	102	10	1	Sicilian Defense, Dragon	1	b59f3b2b	50	3217.00	1	50	10	51	14	286566	4618.840198647053
locate	1900	0.05	sf5	win	adjudicated_eval	49	11	0	French Defense	1	b59f3b2b	24	571.00	0	24	12	24	12	117131	3838.6997599583315
locate	1900	0.05	sf5	win	adjudicated_eval	62	12	1	French Defense, Advance	1	b59f3b2b	31	897.00	1	31	16	31	14	169020	4452.211176258046
locate	1900	0.05	sf5	loss	adjudicated_eval	94	13	0	Caro-Kann Defense	1	b59f3b2b	47	1911.00	2	47	18	47	15	263820	4613.142567063791
locate	1900	0.05	sf5	draw	ply_cap_draw	120	14	1	Caro-Kann Defense, Advance	1	b59f3b2b	60	2036.00	1	60	22	60	19	290473	3841.0405183166963
locate	1900	0.05	sf5	win	adjudicated_eval	63	15	0	Scandinavian Defense	1	b59f3b2b	31	817.00	1	31	12	31	12	160401	4198.702778258135
measure	1900	0.05	sf5	draw	ply_cap_draw	120	16	1	Pirc Defense	1	b59f3b2b	59	3663.00	3	59	22	60	22	257479	3291.2292152333616
measure	1900	0.05	sf5	draw	ply_cap_draw	120	17	0	Modern Defense	1	b59f3b2b	60	839.00	0	60	18	60	21	236163	2935.961885166673
measure	1900	0.05	sf5	win	adjudicated_eval	98	18	1	Alekhine Defense	1	b59f3b2b	48	1612.00	0	48	20	49	26	217213	3432.7533627142466
measure	1900	0.05	sf5	draw	ply_cap_draw	120	19	0	Queen's Gambit Declined	1	b59f3b2b	60	933.00	0	60	15	60	18	302048	4034.0943223166437
measure	1900	0.05	sf5	win	adjudicated_eval	79	20	1	Queen's Gambit Accepted	1	b59f3b2b	39	1544.00	0	39	9	40	14	230655	4791.202775949938
