position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff	maia_inferences	maia_cpu_ms	maia_peak_inflight	maia_fifo
C42	rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	14	76936	134056	400	400	f3e5	0.562629					14,14+floor10					386	31632.2	1	true
C42	rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	ladder	38335	50653	400	400	f3e5	0.561191	true	true	0.001302	0.034240	14,14+floor10					386	30878.7	1	true
C47	r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4	14	80624	133880	400	400	d2d4	0.567858					14,14+floor10					400	32910.9	1	true
C47	r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4	ladder	39397	50946	400	400	d2d4	0.568126	true	true	0.002281	0.029212	14,14+floor10					399	31927.9	1	true
C25	rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2	14	74392	153997	400	400	g8f6	0.486575					14,14+floor10					293	24154.1	1	true
C25	rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2	ladder	32116	47668	400	400	g8f6	0.489043	true	false	0.002885	0.002398	14,14+floor10					290	23327.9	1	true
C30	rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2	14	100397	183466	400	400	d7d5	0.547127					14,14+floor10					338	28346.7	1	true
C30	rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2	ladder	38260	50150	400	400	d7d5	0.544318	true	false	0.001890	0.043667	14,14+floor10					338	28332.7	1	true
B50	rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	14	77637	143755	400	400	c2c3	0.541056					14,14+floor10					376	32142.7	1	true
B50	rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	ladder	39069	53686	400	400	c2c3	0.543848	true	true	0.001563	0.007062	14,14+floor10					376	31344.1	1	true
B90	rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	14	99219	196520	400	400	f2f3	0.540788					14,14+floor10					372	31827.4	1	true
B90	rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	ladder	41252	57430	400	400	c1e3	0.541667	false	false	0.002483	0.002610	14,14+floor10					372	31076.0	1	true
B70	rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	14	110050	228782	400	400	f2f3	0.569254					14,14+floor10					337	28826.5	1	true
B70	rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	ladder	39691	54946	400	400	f2f3	0.568179	true	true	0.002180	0.034265	14,14+floor10					334	26989.0	1	true
C00	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	14	85570	165307	400	400	d2d4	0.544932					14,14+floor10					381	31176.1	1	true
C00	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	ladder	40138	55887	400	400	d2d4	0.545028	true	true	0.001472	0.004628	14,14+floor10					379	30441.0	1	true
