position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff	maia_inferences	maia_cpu_ms	maia_peak_inflight	maia_fifo
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	85650	148007	400	400	f3g5	0.548112					14,14+floor10					385	32366.8	1	true
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	ladder	40088	52072	400	400	f3g5	0.547123	true	true	0.003280	0.013684	14,14+floor10					385	32117.3	1	true
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	120566	255156	400	400	f3g5	0.601205					14,14+floor10					385	32011.6	1	true
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	ladder	44433	63786	400	400	f3g5	0.602693	true	false	0.002729	0.048354	14,14+floor10					385	31182.3	1	true
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	14	115585	238471	400	400	c3e2	0.521968					14,14+floor10					352	28778.8	1	true
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	ladder	40436	57699	400	400	c3e2	0.527271	true	false	0.006855	0.010801	14,14+floor10					350	28791.5	1	true
endgame	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	53047	70373	400	400	b4f4	0.659001					14,14+floor10					366	30694.8	1	true
endgame	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	ladder	34288	41979	400	400	b4f4	0.641159	true	true	0.009066	0.121738	14,14+floor10					366	30369.8	1	true
C50	r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	91709	171763	400	400	c2c3	0.552807					14,14+floor10					331	28195.1	1	true
C50	r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	ladder	36796	47598	400	400	c2c3	0.551705	true	true	0.001906	0.025568	14,14+floor10					333	27519.8	1	true
C60	r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3	14	80952	143642	400	400	a7a6	0.500776					14,14+floor10					387	31757.2	1	true
C60	r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3	ladder	40113	53283	400	400	a7a6	0.493909	true	true	0.001749	0.034443	14,14+floor10					387	31845.2	1	true
C70	r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4	14	86444	176811	400	400	d7d6	0.467619					14,14+floor10					339	27973.7	1	true
C70	r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4	ladder	36823	50047	400	400	g8f6	0.463672	false	false	0.003636	0.000429	14,14+floor10					339	27244.6	1	true
C45	r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3	14	95242	168502	400	400	e5d4	0.451215					14,14+floor10					372	30451.4	1	true
C45	r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3	ladder	38800	50739	400	400	e5d4	0.449072	true	true	0.001780	0.016826	14,14+floor10					372	29861.3	1	true
