position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	12177	18599	50	50	f3g5	0.530654					14,14,14+floor10				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	ladder	8943	10628	50	50	f3g5	0.535997	true	true	0.002887	0.011719	14,14,14+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	14	13995	22654	50	50	b7b5	0.489471					14,14,14+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	ladder	11916	17584	50	50	b7b5	0.485570	true	false	0.002573	0.022191	14,14,14+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	14	13891	24473	50	50	b8c6	0.487968					14,14,14+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	ladder	9680	13138	50	50	b8c6	0.485138	true	true	0.001344	0.011069	14,14,14+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	17269	35838	50	50	f3g5	0.587976					14,14,14+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	ladder	16240	33670	50	50	f3g5	0.587976	true	true	0.000018	0.031655	14,14,14+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	14	21283	37217	50	50	c4b3	0.480144					14,14,14+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	ladder	9984	12300	50	50	c4b3	0.477323	true	true	0.003463	0.009963	14,14,14+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	14	13312	18401	50	50	c2d2	0.458603					14,14,14+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	ladder	10968	14641	50	50	c2d2	0.458216	true	true	0.002342	0.052877	14,14,14+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	14	14789	29263	50	50	b2b4	0.574774					14,14,14+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	ladder	13182	25131	50	50	b2b4	0.575479	true	true	0.002218	0.008633	14,14,14+floor10				
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	14	13997	18949	50	50	g2b7	0.637477					14,14,14+floor10				
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	ladder	11282	14817	50	50	g2b7	0.637766	true	true	0.002473	0.098826	14,14,14+floor10				
fen49	r1b1r1k1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBPN2/2Q2PPP/R1B2RK1 w - - 2 13	14	12861	14083	50	50	e3e4	0.542612					14,14,14+floor10				
fen49	r1b1r1k1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBPN2/2Q2PPP/R1B2RK1 w - - 2 13	ladder	7593	5032	50	50	e3e4	0.553706	true	false	0.008026	0.044955	14,14,14+floor10				
fen50	r3kb1r/1b1n1ppp/pq3n2/1ppp4/8/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 0 12	14	12015	13514	50	50	b3d5	0.546705					14,14,14+floor10				
fen50	r3kb1r/1b1n1ppp/pq3n2/1ppp4/8/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 0 12	ladder	6792	4295	50	50	b3d5	0.551516	true	false	0.004379	0.012611	14,14,14+floor10				
