position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	12648	19203	50	50	f3g5	0.530654					14+floor14				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	12	7818	7587	50	50	f3g5	0.534526	true	false	0.004519	0.011719	14+floor14				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	10	5545	2522	50	50	f3g5	0.544186	true	true	0.005570	0.011719	14+floor14				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	8	4578	647	50	50	f3g5	0.532662	true	false	0.007306	0.011719	14+floor14				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	6	4224	211	50	50	f3g5	0.526740	true	false	0.011686	0.011719	14+floor14				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	14	13646	22456	50	50	b7b5	0.489471					14+floor14				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	12	8233	9643	50	50	b7b5	0.482064	true	true	0.002864	0.022191	14+floor14				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	10	5480	3161	50	50	b7b5	0.486537	true	false	0.002980	0.022191	14+floor14				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	8	4694	951	50	50	b7b5	0.485793	true	false	0.003658	0.022191	14+floor14				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	6	4436	256	50	50	b7b5	0.485213	true	false	0.003957	0.022191	14+floor14				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	14	13612	23464	50	50	b8c6	0.487968					14+floor14				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	12	8275	9212	50	50	b8c6	0.484522	true	true	0.002351	0.011069	14+floor14				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	10	5686	3189	50	50	b8c6	0.480934	true	true	0.003294	0.011069	14+floor14				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	8	4702	885	50	50	b8c6	0.480961	true	false	0.004873	0.011069	14+floor14				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	6	4437	244	50	50	b8c6	0.480778	true	true	0.003488	0.011069	14+floor14				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	16420	32755	50	50	f3g5	0.587976					14+floor14				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	12	9047	12522	50	50	f3g5	0.597707	true	true	0.004661	0.031655	14+floor14				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	10	5816	4197	50	50	f3g5	0.601404	true	true	0.006943	0.031655	14+floor14				
