position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff	wdl_candidate_depth	wdl_elo	wdl_calls	maia_inferences	wdl_spread	es_sf	es_wdl
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	8945	10209	24	50	f3g5	0.549407					14,14,14+floor10								50			
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	16750	34122	49	50	f3g5	0.587976					14,14,14+floor10								50			
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	14	10122	16802	25	50	h2h4	0.546791					14,14,14+floor10								49			
endgame	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	5267	1647	7	50	b4f4	0.717229					14,14,14+floor10								49			
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl-ref	9109	10539	50	50	f3g5	0.529884					14,14,14+floor10						1100	0	50		0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl1	8619	9615	25	50	f3g5	0.574722	true	false	0.012283	0.011290	14,14,14+floor10					1	1100	25	50	0.070963	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl2	8628	9777	25	50	f3g5	0.574722	true	false	0.012283	0.011290	14,14,14+floor10					2	1100	25	50	0.070963	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl3	8647	9745	25	50	f3g5	0.574722	true	false	0.012283	0.011290	14,14,14+floor10					3	1100	25	50	0.070963	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl4	8685	9905	36	50	f3g5	0.574722	true	false	0.011169	0.011290	14,14,14+floor10					4	1100	14	50	0.068621	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl-ref	9271	10806	50	50	f3g5	0.535997					14,14,14+floor10						1500	0	50		0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl1	8688	9609	24	50	f3g5	0.549407	true	true	0.004065	0.017768	14,14,14+floor10					1	1500	26	50	0.048285	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl2	8679	9665	24	50	f3g5	0.549407	true	true	0.004065	0.017768	14,14,14+floor10					2	1500	26	50	0.048285	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl3	8696	9603	24	50	f3g5	0.549407	true	true	0.004065	0.017768	14,14,14+floor10					3	1500	26	50	0.048285	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl4	9043	10474	36	50	f3g5	0.549407	true	false	0.003939	0.017768	14,14,14+floor10					4	1500	14	50	0.045256	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl-ref	9115	9914	50	50	f3g5	0.528626					14,14,14+floor10						1900	0	50		0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl1	8303	8040	23	50	d2d4	0.560606	false	false	0.017332	0.002895	14,14,14+floor10					1	1900	27	50	0.072298	0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl2	8340	8271	23	50	d2d4	0.560606	false	false	0.017332	0.002895	14,14,14+floor10					2	1900	27	50	0.072298	0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl3	7945	7970	23	50	d2d4	0.560606	false	false	0.017332	0.002895	14,14,14+floor10					3	1900	27	50	0.072298	0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl4	8251	8744	42	50	d2d3	0.522661	false	false	0.006677	0.002895	14,14,14+floor10					4	1900	8	50	0.028474	0.517483	0.534001
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	20927	42304	50	50	f3g5	0.615012					14,14,14+floor10						1100	0	50		0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	20987	42433	50	50	f3g5	0.615012	true	true	0.000000	0.050191	14,14,14+floor10					1	1100	0	50	0.131467	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	21091	42913	50	50	f3g5	0.615012	true	true	0.000000	0.050191	14,14,14+floor10					2	1100	0	50	0.131467	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	21260	43551	50	50	f3g5	0.615012	true	true	0.000000	0.050191	14,14,14+floor10					3	1100	0	50	0.131467	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	21223	43413	50	50	f3g5	0.615012	true	true	0.000000	0.050191	14,14,14+floor10					4	1100	0	50	0.131467	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	16317	33348	50	50	f3g5	0.587976					14,14,14+floor10						1500	0	50		0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	16236	33282	49	50	f3g5	0.587976	true	true	0.000132	0.031452	14,14,14+floor10					1	1500	1	50	0.115098	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	16150	33167	49	50	f3g5	0.587976	true	true	0.000132	0.031452	14,14,14+floor10					2	1500	1	50	0.115098	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	16192	33249	49	50	f3g5	0.587976	true	true	0.000132	0.031452	14,14,14+floor10					3	1500	1	50	0.115098	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	16260	33170	50	50	f3g5	0.587976	true	true	0.000000	0.031452	14,14,14+floor10					4	1500	0	50	0.115098	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	15095	28317	50	50	f3g5	0.584549					14,14,14+floor10						1900	0	50		0.586568	0.519946
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	15654	29418	50	50	f3g5	0.584549	true	true	0.000000	0.037588	14,14,14+floor10					1	1900	0	50	0.067309	0.586568	0.519946
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	15704	29390	50	50	f3g5	0.584549	true	true	0.000000	0.037588	14,14,14+floor10					2	1900	0	50	0.067309	0.586568	0.519946
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	15797	29679	50	50	f3g5	0.584549	true	true	0.000000	0.037588	14,14,14+floor10					3	1900	0	50	0.067309	0.586568	0.519946
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	15678	29280	50	50	f3g5	0.584549	true	true	0.000000	0.037588	14,14,14+floor10					4	1900	0	50	0.067309	0.586568	0.519946
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl-ref	15822	29547	50	50	h2h4	0.535487					14,14,14+floor10						1100	0	50		0.544070	0.570576
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl1	15833	28925	31	50	h2h4	0.555854	true	true	0.007958	0.031222	14,14,14+floor10					1	1100	19	50	0.312335	0.544070	0.570576
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl2	15794	28902	31	50	h2h4	0.555854	true	true	0.007958	0.031222	14,14,14+floor10					2	1100	19	50	0.312335	0.544070	0.570576
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl3	15825	28965	31	50	h2h4	0.555854	true	true	0.007958	0.031222	14,14,14+floor10					3	1100	19	50	0.312335	0.544070	0.570576
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl4	15357	28682	45	50	h2h4	0.535487	true	true	0.000964	0.031222	14,14,14+floor10					4	1100	5	50	0.297236	0.544070	0.570576
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl-ref	11178	19062	50	50	h2h4	0.525118					14,14,14+floor10						1500	0	49		0.544070	0.575130
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl1	10531	17537	25	50	h2h4	0.546791	true	true	0.009153	0.011294	14,14,14+floor10					1	1500	25	49	0.087902	0.544070	0.575130
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl2	10584	17672	25	50	h2h4	0.546791	true	true	0.009153	0.011294	14,14,14+floor10					2	1500	25	49	0.087902	0.544070	0.575130
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl3	10559	17655	25	50	h2h4	0.546791	true	true	0.009153	0.011294	14,14,14+floor10					3	1500	25	49	0.087902	0.544070	0.575130
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl4	11228	18915	49	50	h2h4	0.532196	true	true	0.001415	0.011294	14,14,14+floor10					4	1500	1	49	0.082798	0.544070	0.575130
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	wdl-ref	11359	15132	50	50	c3e2	0.525809					14,14,14+floor10						1900	0	47		0.544070	0.554114
