position	fen	nodes	elo	sf_top_uci	sf_top_raw_maia_prob	baseline_wall_ms	injected_wall_ms	grade_cache_hits	grade_cache_misses	injected_uci	injected_practical_score	injected_visits	top_organic_uci	top_organic_practical_score	top_organic_visits	baseline_top_uci	baseline_top_practical_score
fen14	2r3k1/p4ppp/q2bp3/3p4/2rN4/4P2P/P2Q1PP1/R1R3K1 b - - 0 22	400	1500	a6a2	0.001261	40632	34730	385	15	a6a2	1.000000	7	d6b4	0.750879	139	d6b4	0.750532
fen17	r6r/1pp2kpp/p1n2p2/3n4/2PP4/B2B1N1q/P2Q1P2/R4RK1 w - - 0 18	400	1500	d2g5	0.000326	40579	36182	335	65	d2g5	0.725713	82	f3h2	0.718228	53	f3h2	0.710529
fen22	4rrk1/6p1/2Q1p1q1/p4p2/3P1R2/P5P1/1P2N2P/5RK1 w - - 2 25	400	1500	f4f2	0.007484	42014	36448	370	30	f4f2	0.876692	25	d4d5	0.923029	264	d4d5	0.923423
fen25	1r2r2k/2RR1Qpp/q1p2b2/p1B5/3p4/4P1P1/P4P1P/6K1 w - - 6 28	400	1500	g1g2	0.009909	39676	35308	382	18	g1g2	0.623331	17	f7f6	0.875158	575	f7f6	0.875148
fen36	5bk1/1r3p1p/p1q3p1/P2r4/4p3/4P2P/1B2QPP1/1R4K1 b - - 1 28	400	1500	c6d7	0.008548	43812	36192	365	35	c6d7	0.876680	28	f8g7	0.893575	80	f8g7	0.894367
fen40	2k2rr1/ppqb1Q2/2n1p2P/3pPn2/5P2/P1p5/2P1N1P1/R1B1KB1R w KQ - 1 16	400	1500	h6h7	0.045562	45695	37407	308	92	h6h7	0.562715	108	f7h5	0.502913	278	f7h5	0.496434
fen44	6k1/4rp2/2Bp2p1/3Pbq1p/2Q1R3/6P1/5P2/6K1 b - - 3 31	400	1500	e5g3	0.021635	57392	35875	104	296	e5g3	0.987382	436	f5h3	0.747761	11	e7a7	0.721012
fen46	2kr4/ppp2pp1/3p4/2bN4/4P1n1/3B3q/PPP4B/R2Q1R1K w - - 2 19	400	1500	d1g4	0.013916	36952	37347	283	117	d1g4	0.306870	117	d1e2	0.252560	272	d1e2	0.258003
