position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff	wdl_candidate_depth	wdl_elo	wdl_calls	maia_inferences	wdl_spread	es_sf	es_wdl
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	69204	68707	100	400	f3g5	0.553839					14,14,14+floor10								383			
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	30764	1648	7	400	b4f4	0.692140					14,14,14+floor10								362			
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	84087	111842	400	400	f3g5	0.631320					14,14,14+floor10						1100	0	387		0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	85634	99612	126	400	f3g5	0.583995	true	false	0.014655	0.064234	14,14,14+floor10					1	1100	274	388	0.071728	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	88025	103013	126	400	f3g5	0.583995	true	false	0.014655	0.064234	14,14,14+floor10					2	1100	274	388	0.071728	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	88631	105809	126	400	f3g5	0.583995	true	false	0.014655	0.064234	14,14,14+floor10					3	1100	274	388	0.071728	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	88654	113871	301	400	f3g5	0.606330	true	false	0.006691	0.064234	14,14,14+floor10					4	1100	99	388	0.095536	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	77222	91643	400	400	f3g5	0.602039					14,14,14+floor10						1500	0	385		0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	72675	70963	100	400	f3g5	0.553839	true	false	0.012048	0.048406	14,14,14+floor10					1	1500	300	383	0.064502	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	75351	72858	100	400	f3g5	0.553839	true	false	0.012048	0.048406	14,14,14+floor10					2	1500	300	383	0.064502	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	73473	70694	100	400	f3g5	0.553839	true	false	0.012048	0.048406	14,14,14+floor10					3	1500	300	383	0.064502	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	76159	83508	300	400	f3g5	0.575020	true	false	0.005461	0.048406	14,14,14+floor10					4	1500	100	385	0.082989	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	67386	71195	400	400	f3g5	0.593512					14,14,14+floor10						1900	0	387		0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	60102	45792	78	400	f3g5	0.565977	true	false	0.007079	0.044893	14,14,14+floor10					1	1900	322	384	0.040422	0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	57793	45080	78	400	f3g5	0.565977	true	false	0.007079	0.044893	14,14,14+floor10					2	1900	322	384	0.040422	0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	57513	43932	78	400	f3g5	0.565977	true	false	0.007079	0.044893	14,14,14+floor10					3	1900	322	384	0.040422	0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	63520	60395	279	400	f3g5	0.580456	true	false	0.004496	0.044893	14,14,14+floor10					4	1900	121	384	0.057268	0.586568	0.519946
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl-ref	39029	13323	400	400	b4f4	0.671541					14,14,14+floor10						1100	0	376		0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl1	33542	2627	11	400	b4f4	0.704135	true	true	0.026074	0.120226	14,14,14+floor10					1	1100	389	375	0.172375	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl2	33831	2662	11	400	b4f4	0.704135	true	true	0.026074	0.120226	14,14,14+floor10					2	1100	389	375	0.172375	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl3	33800	2545	11	400	b4f4	0.704135	true	true	0.026074	0.120226	14,14,14+floor10					3	1100	389	375	0.172375	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl4	32386	3312	31	400	b4f4	0.703095	true	true	0.027378	0.120226	14,14,14+floor10					4	1100	369	375	0.174982	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl-ref	34330	10416	400	400	b4f4	0.645594					14,14,14+floor10						1500	0	367		0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl1	30390	1619	7	400	b4f4	0.692140	true	true	0.048620	0.114049	14,14,14+floor10					1	1500	393	362	0.211288	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl2	30784	1615	7	400	b4f4	0.692140	true	true	0.048620	0.114049	14,14,14+floor10					2	1500	393	362	0.211288	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl3	31248	1703	7	400	b4f4	0.692140	true	true	0.048620	0.114049	14,14,14+floor10					3	1500	393	362	0.211288	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl4	30548	1612	13	400	b4f4	0.692144	true	true	0.047425	0.114049	14,14,14+floor10					4	1500	387	362	0.208898	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl-ref	33275	8495	400	400	b4f4	0.593238					14,14,14+floor10						1900	0	357		0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl1	29870	1006	6	400	b4f4	0.639640	true	true	0.054822	0.079551	14,14,14+floor10					1	1900	394	357	0.189195	0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl2	30527	997	6	400	b4f4	0.639640	true	true	0.054822	0.079551	14,14,14+floor10					2	1900	394	357	0.189195	0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl3	30298	1029	6	400	b4f4	0.639640	true	true	0.054822	0.079551	14,14,14+floor10					3	1900	394	357	0.189195	0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl4	30557	1082	13	400	b4f4	0.639640	true	true	0.054614	0.079551	14,14,14+floor10					4	1900	387	358	0.188778	0.638080	0.809427
