position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	11971	18240	50	50	f3g5	0.530654					14,12+floor10				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	ladder	6149	3674	50	50	f3g5	0.535233	true	true	0.002992	0.011719	14,12+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	14	13792	22516	50	50	b7b5	0.489471					14,12+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	ladder	6631	4839	50	50	b7b5	0.486336	true	false	0.001959	0.022191	14,12+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	14	13523	23341	50	50	b8c6	0.487968					14,12+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	ladder	6150	4396	50	50	b8c6	0.481104	true	false	0.003914	0.011069	14,12+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	16347	32995	50	50	f3g5	0.587976					14,12+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	ladder	7241	6815	50	50	f3g5	0.593970	true	false	0.003513	0.031655	14,12+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	14	21047	36936	50	50	c4b3	0.480144					14,12+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	ladder	7059	5697	50	50	c4b3	0.470570	true	true	0.007222	0.009963	14,12+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	14	13167	18456	50	50	c2d2	0.458603					14,12+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	ladder	6463	4103	50	50	c2d2	0.456897	true	false	0.007476	0.052877	14,12+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	14	14776	29184	50	50	b2b4	0.574774					14,12+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	ladder	6419	5269	50	50	b2b4	0.580611	true	false	0.006983	0.008633	14,12+floor10				
