position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	14	13702	18743	50	50	g2b7	0.637477					14,12+floor10				
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	ladder	6168	3463	50	50	g2b7	0.639256	true	true	0.010233	0.098826	14,12+floor10				
fen49	r1b1r1k1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBPN2/2Q2PPP/R1B2RK1 w - - 2 13	14	12852	14015	50	50	e3e4	0.542612					14,12+floor10				
fen49	r1b1r1k1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBPN2/2Q2PPP/R1B2RK1 w - - 2 13	ladder	5800	2302	50	50	e3e4	0.540634	true	false	0.010021	0.044955	14,12+floor10				
fen50	r3kb1r/1b1n1ppp/pq3n2/1ppp4/8/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 0 12	14	12138	13417	50	50	b3d5	0.546705					14,12+floor10				
fen50	r3kb1r/1b1n1ppp/pq3n2/1ppp4/8/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 0 12	ladder	5644	2030	50	50	e3e4	0.557189	false	false	0.010262	0.012611	14,12+floor10				
fen54	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	14	13829	26396	50	50	h2h4	0.522809					14,12+floor10				
fen54	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	ladder	6134	4794	50	50	h2h4	0.532255	true	true	0.006977	0.007323	14,12+floor10				
fen55	r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R b KQ - 3 8	14	13297	18498	50	50	c6b4	0.518302					14,12+floor10				
fen55	r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R b KQ - 3 8	ladder	6245	3269	50	50	c6b4	0.515596	true	true	0.043951	0.110205	14,12+floor10				
fen56	rnbqk2r/ppp2p1p/3b4/3PN2n/2BP1ppP/8/PPP3P1/RNBQ1RK1 b kq - 2 9	14	9539	10091	50	50	d8h4	0.638730					14,12+floor10				
fen56	rnbqk2r/ppp2p1p/3b4/3PN2n/2BP1ppP/8/PPP3P1/RNBQ1RK1 b kq - 2 9	ladder	5494	2001	50	50	d8h4	0.639254	true	true	0.013822	0.087228	14,12+floor10				
fen57	r1bqk2r/pppp1Npp/2n5/4p3/2B1n3/8/PPPP2PP/RNBQ2KR b kq - 1 7	14	8806	8938	50	50	d8h4	0.597437					14,12+floor10				
fen57	r1bqk2r/pppp1Npp/2n5/4p3/2B1n3/8/PPPP2PP/RNBQ2KR b kq - 1 7	ladder	5036	1262	50	50	d8h4	0.583864	true	true	0.011198	0.121346	14,12+floor10				
fen58	r1bqkb1r/p4pp1/2p2n1p/n3N3/4p3/8/PPPPBPPP/RNBQK2R b KQkq - 1 10	14	13550	17823	50	50	f8d6	0.594226					14,12+floor10				
fen58	r1bqkb1r/p4pp1/2p2n1p/n3N3/4p3/8/PPPPBPPP/RNBQK2R b KQkq - 1 10	ladder	6024	3071	50	50	f8d6	0.587332	true	true	0.008353	0.051750	14,12+floor10				
fen63	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	8195	7201	50	50	b4f4	0.640986					14,12+floor10				
fen63	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	ladder	5237	1553	50	50	b4f4	0.617660	true	true	0.018768	0.116439	14,12+floor10				
fen64	8/8/4k3/8/8/4K3/4P3/8 w - - 0 35	14	5739	2592	50	50	e3d4	0.786355					14,12+floor10				
fen64	8/8/4k3/8/8/4K3/4P3/8 w - - 0 35	ladder	4492	611	50	50	e3d4	0.776038	true	true	0.010855	0.005771	14,12+floor10				
fen65	4r3/8/4k3/8/8/4K3/4P3/4R3 w - - 0 32	14	6426	4232	50	50	e3f4	0.599312					14,12+floor10				
fen65	4r3/8/4k3/8/8/4K3/4P3/4R3 w - - 0 32	ladder	4891	1378	50	50	e3f4	0.573464	true	false	0.004550	0.093006	14,12+floor10				
fen66	8/5p2/4k1p1/8/2N1P3/6P1/5PK1/8 w - - 0 38	14	7346	6217	50	50	g2f3	0.964559					14,12+floor10				
fen66	8/5p2/4k1p1/8/2N1P3/6P1/5PK1/8 w - - 0 38	ladder	4204	292	50	50	g2f3	0.892510	true	true	0.067923	0.009582	14,12+floor10				
fen67	8/3p4/4k3/1B6/8/4K3/3P4/8 w - - 0 40	14	7487	5321	50	50	e3e4	0.996591					14,12+floor10				
fen67	8/3p4/4k3/1B6/8/4K3/3P4/8 w - - 0 40	ladder	4680	862	50	50	e3d4	0.958387	false	false	0.045058	0.007834	14,12+floor10				
fen68	8/8/4k3/8/3K4/8/3Q4/8 w - - 0 45	14	7754	4308	50	50	d4c5	0.983068					14,12+floor10				
fen68	8/8/4k3/8/3K4/8/3Q4/8 w - - 0 45	ladder	4606	601	50	50	d4c5	0.987754	true	false	0.005382	0.004579	14,12+floor10				
