position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	12432	19306	50	50	f3g5	0.530654					14,14,12+floor10				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	ladder	7489	6676	50	50	f3g5	0.528003	true	false	0.002675	0.011719	14,14,12+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	14	14086	23074	50	50	b7b5	0.489471					14,14,12+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	ladder	8704	10313	50	50	b7b5	0.485496	true	false	0.001759	0.022191	14,14,12+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	14	13767	24241	50	50	b8c6	0.487968					14,14,12+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	ladder	7386	8100	50	50	b8c6	0.483406	true	true	0.001363	0.011069	14,14,12+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	16566	33773	50	50	f3g5	0.587976					14,14,12+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	ladder	11036	17920	50	50	f3g5	0.586495	true	false	0.001571	0.031655	14,14,12+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	14	21299	37086	50	50	c4b3	0.480144					14,14,12+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	ladder	8592	8913	50	50	c4b3	0.475533	true	true	0.003749	0.009963	14,14,12+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	14	13402	18504	50	50	c2d2	0.458603					14,14,12+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	ladder	8327	7976	50	50	c2d2	0.457119	true	false	0.002873	0.052877	14,14,12+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	14	14972	29236	50	50	b2b4	0.574774					14,14,12+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	ladder	9157	12591	50	50	b2b4	0.577750	true	false	0.004928	0.008633	14,14,12+floor10				
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	14	13980	18893	50	50	g2b7	0.637477					14,14,12+floor10				
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	ladder	8707	8733	50	50	g2b7	0.633575	true	true	0.003451	0.098826	14,14,12+floor10				
fen49	r1b1r1k1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBPN2/2Q2PPP/R1B2RK1 w - - 2 13	14	12864	14139	50	50	e3e4	0.542612					14,14,12+floor10				
fen49	r1b1r1k1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBPN2/2Q2PPP/R1B2RK1 w - - 2 13	ladder	6367	3438	50	50	e3e4	0.538585	true	false	0.005688	0.044955	14,14,12+floor10				
fen50	r3kb1r/1b1n1ppp/pq3n2/1ppp4/8/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 0 12	14	12059	13545	50	50	b3d5	0.546705					14,14,12+floor10				
fen50	r3kb1r/1b1n1ppp/pq3n2/1ppp4/8/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 0 12	ladder	6020	3018	50	50	b3d5	0.540618	true	true	0.004042	0.012611	14,14,12+floor10				
fen54	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	14	13861	26460	50	50	h2h4	0.522809					14,14,12+floor10				
fen54	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	ladder	8061	10652	50	50	h2h4	0.527443	true	true	0.003249	0.007323	14,14,12+floor10				
fen55	r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R b KQ - 3 8	14	13367	18672	50	50	c6b4	0.518302					14,14,12+floor10				
fen55	r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R b KQ - 3 8	ladder	7008	4870	50	50	c6b4	0.510404	true	true	0.040236	0.110205	14,14,12+floor10				
fen56	rnbqk2r/ppp2p1p/3b4/3PN2n/2BP1ppP/8/PPP3P1/RNBQ1RK1 b kq - 2 9	14	9599	10099	50	50	d8h4	0.638730					14,14,12+floor10				
fen56	rnbqk2r/ppp2p1p/3b4/3PN2n/2BP1ppP/8/PPP3P1/RNBQ1RK1 b kq - 2 9	ladder	6262	3518	50	50	d8h4	0.632575	true	true	0.007350	0.087228	14,14,12+floor10				
fen57	r1bqk2r/pppp1Npp/2n5/4p3/2B1n3/8/PPPP2PP/RNBQ2KR b kq - 1 7	14	8837	8948	50	50	d8h4	0.597437					14,14,12+floor10				
fen57	r1bqk2r/pppp1Npp/2n5/4p3/2B1n3/8/PPPP2PP/RNBQ2KR b kq - 1 7	ladder	5296	1877	50	50	d8h4	0.590509	true	true	0.003924	0.121346	14,14,12+floor10				
fen58	r1bqkb1r/p4pp1/2p2n1p/n3N3/4p3/8/PPPPBPPP/RNBQK2R b KQkq - 1 10	14	13502	17809	50	50	f8d6	0.594226					14,14,12+floor10				
fen58	r1bqkb1r/p4pp1/2p2n1p/n3N3/4p3/8/PPPPBPPP/RNBQK2R b KQkq - 1 10	ladder	7092	5665	50	50	f8d6	0.577502	true	true	0.006213	0.051750	14,14,12+floor10				
fen63	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	8193	7254	50	50	b4f4	0.640986					14,14,12+floor10				
fen63	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	ladder	5347	1831	50	50	b4f4	0.616692	true	true	0.016940	0.116439	14,14,12+floor10				
fen64	8/8/4k3/8/8/4K3/4P3/8 w - - 0 35	14	5721	2587	50	50	e3d4	0.786355					14,14,12+floor10				
fen64	8/8/4k3/8/8/4K3/4P3/8 w - - 0 35	ladder	4823	1334	50	50	e3d4	0.787186	true	true	0.003251	0.005771	14,14,12+floor10				
fen65	4r3/8/4k3/8/8/4K3/4P3/4R3 w - - 0 32	14	6459	4278	50	50	e3f4	0.599312					14,14,12+floor10				
fen65	4r3/8/4k3/8/8/4K3/4P3/4R3 w - - 0 32	ladder	5124	1948	50	50	e3f4	0.513004	true	false	0.012472	0.093006	14,14,12+floor10				
