position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	11991	18412	50	50	f3g5	0.530654					14+floor10				
fen38	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	ladder	6147	3289	50	50	f3g5	0.540167	true	false	0.004483	0.011719	14+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	14	14093	22906	50	50	b7b5	0.489471					14+floor10				
fen39	r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BP4/2N1PN2/PP3PPP/2RQK2R b K - 0 9	ladder	6377	3917	50	50	b7b5	0.483658	true	false	0.002864	0.022191	14+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	14	13489	23316	50	50	b8c6	0.487968					14+floor10				
fen40	rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b - - 5 9	ladder	5972	3631	50	50	b8c6	0.481857	true	true	0.002877	0.011069	14+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	16353	32854	50	50	f3g5	0.587976					14+floor10				
fen44	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	ladder	6646	4889	50	50	f3g5	0.593316	true	false	0.005539	0.031655	14+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	14	21028	36363	50	50	c4b3	0.480144					14+floor10				
fen45	r1bqr1k1/bp3ppp/p1p2nn1/3pp3/P1B1P3/2PP2NP/1P3PPN/R1BQR1K1 w - - 0 14	ladder	6665	4750	50	50	c4b3	0.469107	true	true	0.008513	0.009963	14+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	14	13253	18098	50	50	c2d2	0.458603					14+floor10				
fen46	r1bqr1k1/pp3ppp/2p2bn1/3p4/3P4/2NBPP2/PPQ1N1PP/R4RK1 w - - 0 13	ladder	5779	2474	50	50	c2d2	0.453257	true	false	0.007921	0.052877	14+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	14	14746	28395	50	50	b2b4	0.574774					14+floor10				
fen47	r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/R2QNRK1 w - - 0 13	ladder	6254	4265	50	50	b2b4	0.577672	true	false	0.005792	0.008633	14+floor10				
fen48	2rq1rk1/1p1bppbp/p2p1np1/8/2P5/1PNQ2P1/PB2PPBP/R4RK1 w - - 2 13	14	13860	18504	50	50	g2b7	0.637477					14+floor10				
