position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff	wdl_candidate_depth	wdl_elo	wdl_calls	maia_inferences	wdl_spread	es_sf	es_wdl
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	14	8599	9916	24	50	f3g5	0.549407					14,14,14+floor10								50			
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	15908	32573	49	50	f3g5	0.587976					14,14,14+floor10								50			
sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	14	9901	16497	25	50	h2h4	0.546791					14,14,14+floor10								49			
endgame	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	5180	1620	7	50	b4f4	0.717229					14,14,14+floor10								49			
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl-ref	8980	10325	50	50	f3g5	0.529884					14,14,14+floor10						1100	0	50		0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl1	5022	718	1	50	f3g5	0.580594	true	false	0.028040	0.011290	14,14,14+floor10					1	1100	49	50	0.057542	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl2	5976	2968	6	50	f3g5	0.580594	true	false	0.028124	0.011290	14,14,14+floor10					2	1100	44	50	0.059549	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl3	8535	9669	25	50	f3g5	0.574722	true	false	0.012283	0.011290	14,14,14+floor10					3	1100	25	50	0.070963	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl4	8687	9791	36	50	f3g5	0.574722	true	false	0.011169	0.011290	14,14,14+floor10					4	1100	14	50	0.068621	0.517483	0.581860
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl-ref	9068	10563	50	50	f3g5	0.535997					14,14,14+floor10						1500	0	50		0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl1	5100	816	1	50	d2d4	0.560676	false	false	0.022360	0.017768	14,14,14+floor10					1	1500	49	50	0.066208	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl2	6130	3001	6	50	d2d4	0.561524	false	false	0.021422	0.017768	14,14,14+floor10					2	1500	44	50	0.054496	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl3	8400	9483	24	50	f3g5	0.549407	true	true	0.004065	0.017768	14,14,14+floor10					3	1500	26	50	0.048285	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl4	8713	10216	36	50	f3g5	0.549407	true	false	0.003939	0.017768	14,14,14+floor10					4	1500	14	50	0.045256	0.517483	0.542802
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl-ref	8409	9112	50	50	f3g5	0.528626					14,14,14+floor10						1900	0	50		0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl1	5100	829	1	50	d2d4	0.556241	false	false	0.021480	0.002895	14,14,14+floor10					1	1900	49	50	0.059022	0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl2	5990	2628	6	50	d2d4	0.556241	false	false	0.021480	0.002895	14,14,14+floor10					2	1900	44	50	0.059022	0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl3	7961	7779	23	50	d2d4	0.560606	false	false	0.017332	0.002895	14,14,14+floor10					3	1900	27	50	0.072298	0.517483	0.534001
italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	wdl4	8526	8870	42	50	d2d3	0.522661	false	false	0.006677	0.002895	14,14,14+floor10					4	1900	8	50	0.028474	0.517483	0.534001
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	21212	42407	50	50	f3g5	0.615012					14,14,14+floor10						1100	0	50		0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	5631	1053	1	50	f3g5	0.579138	true	false	0.016434	0.050191	14,14,14+floor10					1	1100	49	50	0.079011	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	8970	11983	13	50	f3g5	0.592738	true	false	0.012929	0.050191	14,14,14+floor10					2	1100	37	50	0.113319	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	21241	43420	50	50	f3g5	0.615012	true	true	0.000000	0.050191	14,14,14+floor10					3	1100	0	50	0.131467	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	21236	43377	50	50	f3g5	0.615012	true	true	0.000000	0.050191	14,14,14+floor10					4	1100	0	50	0.131467	0.586568	0.563998
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	16354	33316	50	50	f3g5	0.587976					14,14,14+floor10						1500	0	50		0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	5265	775	1	50	f3g5	0.556570	true	false	0.018436	0.031452	14,14,14+floor10					1	1500	49	50	0.048211	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	7967	8295	12	50	f3g5	0.566440	true	false	0.011272	0.031452	14,14,14+floor10					2	1500	38	50	0.103690	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	16177	33086	49	50	f3g5	0.587976	true	true	0.000132	0.031452	14,14,14+floor10					3	1500	1	50	0.115098	0.586568	0.532255
middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	16337	33301	50	50	f3g5	0.587976	true	true	0.000000	0.031452	14,14,14+floor10					4	1500	0	50	0.115098	0.586568	0.532255
