pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
measure	2300	0.5	sf3	win	adjudicated_eval	44	82	1	Pirc Defense	1	b59f3b2b	21	321.00	0	21	7	22	10	97410	3427.5101207727566
measure	2300	0.5	sf3	win	adjudicated_eval	96	83	0	Modern Defense	1	b59f3b2b	48	1216.00	2	48	20	48	21	198215	3129.4265530209136
measure	2300	0.5	sf3	win	adjudicated_eval	43	84	1	Alekhine Defense	1	b59f3b2b	21	731.00	0	21	10	22	10	95214	3373.085344045254
measure	2300	0.5	sf3	win	adjudicated_eval	56	85	0	Queen's Gambit Declined	1	b59f3b2b	28	710.00	0	28	13	28	12	126276	3509.666632607247
measure	2300	0.5	sf3	win	adjudicated_eval	37	86	1	Queen's Gambit Accepted	1	b59f3b2b	18	429.00	0	18	7	19	9	101576	4398.6248850528345
measure	2300	0.5	sf3	win	adjudicated_eval	35	87	0	Slav Defense	1	b59f3b2b	17	387.00	0	17	11	17	12	81941	3760.9178357055303
measure	2300	0.5	sf3	win	adjudicated_eval	93	88	1	King's Indian Defense	1	b59f3b2b	46	1226.00	0	46	22	47	23	252269	4388.546817936122
measure	2300	0.5	sf3	win	adjudicated_eval	56	89	0	Nimzo-Indian Defense	1	b59f3b2b	28	1073.00	2	28	17	28	11	108852	2887.473726785808
measure	2300	0.5	sf3	win	adjudicated_eval	70	90	1	Gruenfeld Defense	1	b59f3b2b	34	417.00	0	34	10	35	17	180746	4163.927007000042
measure	2300	0.5	sf3	win	adjudicated_eval	72	91	0	Queen's Indian Defense	1	b59f3b2b	36	1050.00	2	36	18	36	14	145020	3028.1787932222815
measure	2300	0.5	sf3	win	adjudicated_eval	47	92	1	Bogo-Indian Defense	1	b59f3b2b	23	390.00	0	23	13	24	8	98906	3162.57807862487
measure	2300	0.5	sf3	win	adjudicated_eval	66	93	0	Dutch Defense	1	b59f3b2b	33	970.00	0	33	13	33	12	128982	2908.398905696799
measure	2300	0.5	sf3	win	adjudicated_eval	53	94	1	Benoni Defense	1	b59f3b2b	26	464.00	0	26	11	27	10	134126	4004.6086631110975
measure	2300	0.5	sf3	win	adjudicated_eval	51	95	0	English Opening	1	b59f3b2b	25	293.00	0	25	12	25	12	121620	3824.54169284001
